Mã đơn hàng,Ngày đặt hàng,Khu vực,Thành phố,Kênh bán hàng,Nhóm sản phẩm,Tên sản phẩm,Đơn giá (VNĐ),Số lượng,Doanh thu (VNĐ),Giảm giá (%),Thành tiền (VNĐ),Phí vận chuyển (VNĐ),Phương thức thanh toán,Giới tính KH,Tuổi KH,Đánh giá (sao),Trạng thái,Mã nhân viên
DH000044,2023-04-10,Tây Nguyên,Lâm Đồng,Đại lý,Gia dụng,Quạt điện,186000.0,1,186000.0,0.0,186000.0,112000.0,Chuyển khoản,Nam,33.0,5.0,Hoàn thành,NV018
DH000045,2024-01-03,Miền Bắc,Hải Phòng,Siêu thị,Gia dụng,Ấm siêu tốc,2610000.0,3,7830000.0,0.0,7830000.0,0.0,Ví điện tử,Nam,29.0,4.0,Hoàn thành,NV018
DH000046,2023-12-19,Miền Nam,Bình Dương,Siêu thị,Thực phẩm,Trà xanh,85000.0,8,680000.0,0.0,680000.0,66000.0,Tiền mặt,Nữ,42.0,,Hoàn thành,NV043
DH000047,2024-09-10,Miền Trung,Khánh Hòa,Siêu thị,Điện tử,Điện thoại,237000.0,3,711000.0,10.0,640000.0,101000.0,Chuyển khoản,Nữ,47.0,4.0,Hoàn thành,NV001
DH000048,2023-09-28,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Gạo ST25,44000.0,2,88000.0,25.0,66000.0,122000.0,Chuyển khoản,Nữ,18.0,5.0,Hoàn thành,NV005
DH000049,2023-02-14,Miền Nam,Cần Thơ,Online,Thời trang,Áo thun,262000.0,4,1048000.0,10.0,943000.0,84000.0,Thẻ tín dụng,Nữ,45.0,5.0,Hoàn thành,NV005
DH000050,2024-04-15,Miền Bắc,Bắc Ninh,Đại lý,Thực phẩm,Cà phê,63000.0,3,189000.0,0.0,189000.0,55000.0,Tiền mặt,Nữ,32.0,5.0,Hoàn thành,NV011
DH000051,2024-07-03,Tây Nguyên,Lâm Đồng,Đại lý,Mỹ phẩm,Kem chống nắng,82000.0,7,574000.0,0.0,574000.0,31000.0,Thẻ tín dụng,Nam,46.0,3.0,Đang giao,NV033
DH000052,2023-05-08,Miền Nam,TP.HCM,Siêu thị,Gia dụng,Quạt điện,511000.0,2,1022000.0,5.0,971000.0,45000.0,Tiền mặt,Nam,36.0,4.0,Hoàn thành,NV037
DH000053,2024-01-23,Tây Nguyên,Đắk Lắk,Cửa hàng,Điện tử,Máy tính bảng,1729000.0,3,5187000.0,0.0,5187000.0,0.0,Chuyển khoản,Nam,43.0,3.0,Trả hàng,NV048
DH000054,2023-03-22,Miền Nam,TP.HCM,Cửa hàng,Mỹ phẩm,Sữa rửa mặt,103000.0,4,412000.0,0.0,412000.0,51000.0,Chuyển khoản,Nam,23.0,3.0,Hoàn thành,NV008
DH000055,2024-07-19,Miền Nam,Đồng Nai,Đại lý,Thực phẩm,Gạo ST25,30000.0,4,120000.0,0.0,120000.0,31000.0,Chuyển khoản,Nữ,25.0,5.0,Hoàn thành,NV002
DH000056,2023-10-28,Tây Nguyên,Đắk Lắk,Siêu thị,Gia dụng,Bàn ủi,951000.0,3,2853000.0,0.0,2853000.0,0.0,Ví điện tử,Nữ,33.0,3.0,Đã hủy,NV017
DH000057,2024-10-05,Miền Bắc,Bắc Ninh,Đại lý,Điện tử,Tai nghe,261000.0,4,1044000.0,5.0,992000.0,65000.0,COD,Nam,19.0,5.0,Hoàn thành,NV047
DH000058,2024-09-25,Miền Bắc,Hải Phòng,Đại lý,Gia dụng,Bàn ủi,699000.0,5,3495000.0,0.0,3495000.0,0.0,Chuyển khoản,Nữ,23.0,4.0,Trả hàng,NV023
DH000059,2024-01-06,Miền Bắc,Bắc Ninh,Online,Thời trang,Đồng hồ,568000.0,4,2272000.0,0.0,2272000.0,0.0,Thẻ tín dụng,Nam,45.0,4.0,Hoàn thành,NV019
DH000060,2024-08-14,Miền Trung,Đà Nẵng,Siêu thị,Thực phẩm,Nước mắm,44000.0,2,88000.0,0.0,88000.0,126000.0,Tiền mặt,Nam,20.0,5.0,Hoàn thành,NV048
DH000061,2023-07-16,Miền Trung,Nghệ An,Cửa hàng,Điện tử,Máy tính bảng,2130000.0,5,10650000.0,10.0,9585000.0,0.0,Thẻ tín dụng,Nam,25.0,5.0,Hoàn thành,NV019
DH000062,2024-12-22,Miền Bắc,Bắc Ninh,Cửa hàng,Điện tử,Điện thoại,8080000.0,5,40400000.0,15.0,34340000.0,0.0,Tiền mặt,Nữ,32.0,3.0,Hoàn thành,NV035
DH000063,2023-03-13,Miền Nam,Đồng Nai,Cửa hàng,Điện tử,Tai nghe,858000.0,5,4290000.0,0.0,4290000.0,0.0,Ví điện tử,Nam,35.0,5.0,Hoàn thành,NV005
DH000064,2023-02-16,Miền Trung,Nghệ An,Đại lý,Thời trang,Áo thun,185000.0,3,555000.0,0.0,555000.0,97000.0,Chuyển khoản,Nữ,20.0,5.0,Hoàn thành,NV044
DH000065,2024-11-08,Miền Bắc,Bắc Ninh,Siêu thị,Điện tử,Điện thoại,1104000.0,7,7728000.0,10.0,6955000.0,0.0,Chuyển khoản,Nam,29.0,4.0,Hoàn thành,NV039
DH000066,2023-08-22,Miền Nam,Đồng Nai,Online,Gia dụng,Quạt điện,1130000.0,4,4520000.0,0.0,4520000.0,0.0,Chuyển khoản,Nam,35.0,3.0,Trả hàng,NV022
DH000067,2023-10-24,Miền Bắc,Bắc Ninh,Cửa hàng,Điện tử,Máy tính bảng,9430000.0,1,9430000.0,0.0,9430000.0,0.0,COD,Nữ,39.0,5.0,Hoàn thành,NV009
DH000068,2023-03-23,Miền Nam,Đồng Nai,Siêu thị,Thực phẩm,Nước mắm,22000.0,5,110000.0,0.0,110000.0,93000.0,Ví điện tử,Nam,,5.0,Hoàn thành,NV012
DH000069,2023-08-27,Miền Bắc,Bắc Ninh,Cửa hàng,Điện tử,Máy tính bảng,6690000.0,173,1157370000.0,0.0,1157370000.0,0.0,Tiền mặt,Nữ,21.0,5.0,Hoàn thành,NV046
DH000070,2023-04-14,Tây Nguyên,Đắk Lắk,Online,Văn phòng phẩm,Kẹp giấy,23000.0,2,46000.0,10.0,41000.0,84000.0,Ví điện tử,Nam,22.0,4.0,Đang giao,NV043
DH000071,2024-01-25,Miền Nam,Cần Thơ,Siêu thị,Văn phòng phẩm,Bút bi,33000.0,1,33000.0,0.0,33000.0,141000.0,Chuyển khoản,Nữ,33.0,2.0,Đang giao,NV014
DH000072,2023-10-12,Miền Bắc,Hải Phòng,Đại lý,Thời trang,Áo thun,408000.0,3,1224000.0,0.0,1224000.0,80000.0,Chuyển khoản,Nữ,29.0,4.0,Hoàn thành,NV043
DH000073,2024-04-09,Miền Bắc,Bắc Ninh,Đại lý,Thực phẩm,Gạo ST25,49000.0,4,196000.0,0.0,196000.0,124000.0,Ví điện tử,Nữ,33.0,4.0,Trả hàng,NV043
DH000074,2024-10-12,Miền Nam,Đồng Nai,Cửa hàng,Điện tử,Máy tính bảng,7904000.0,2,15808000.0,15.0,13437000.0,0.0,Chuyển khoản,Nam,32.0,4.0,Hoàn thành,NV045
DH000075,2024-01-09,Miền Nam,Cần Thơ,Cửa hàng,Văn phòng phẩm,Kẹp giấy,21000.0,2,42000.0,0.0,42000.0,118000.0,Tiền mặt,Nam,31.0,4.0,Hoàn thành,NV049
DH000076,2023-06-16,Miền Nam,TP.HCM,Siêu thị,Thực phẩm,Trà xanh,192000.0,5,960000.0,0.0,960000.0,126000.0,Tiền mặt,Nam,32.0,,Hoàn thành,NV049
DH000077,2024-01-15,Miền Nam,Cần Thơ,Online,Điện tử,Điện thoại,6319000.0,3,18957000.0,0.0,18957000.0,0.0,Ví điện tử,Nam,38.0,5.0,Đang giao,NV013
DH000078,2023-12-30,Miền Bắc,Bắc Ninh,Cửa hàng,Thời trang,Áo thun,339000.0,1,339000.0,0.0,339000.0,31000.0,Thẻ tín dụng,Nam,45.0,5.0,Đã hủy,NV036
DH000079,2023-08-03,Miền Trung,Khánh Hòa,Siêu thị,Điện tử,Laptop,489000.0,4,1956000.0,0.0,1956000.0,134000.0,Ví điện tử,Nữ,36.0,2.0,Hoàn thành,NV009
DH000080,2024-11-17,Miền Bắc,Hà Nội,Online,Thực phẩm,Trà xanh,35000.0,5,175000.0,0.0,175000.0,80000.0,Chuyển khoản,Nữ,39.0,5.0,Hoàn thành,NV050
DH000081,2023-10-01,Miền Nam,Cần Thơ,Cửa hàng,Gia dụng,Nồi cơm điện,183000.0,2,366000.0,0.0,366000.0,116000.0,Thẻ tín dụng,Nam,23.0,1.0,Đang giao,NV025
DH000082,2024-12-19,Miền Nam,Bình Dương,Cửa hàng,Thực phẩm,Nước mắm,44000.0,3,132000.0,0.0,132000.0,98000.0,Ví điện tử,Nam,49.0,5.0,Đang giao,NV040
DH000083,2024-11-30,Miền Trung,Đà Nẵng,Siêu thị,Thực phẩm,Bánh tráng,87000.0,5,435000.0,0.0,435000.0,94000.0,Tiền mặt,Nữ,40.0,3.0,Hoàn thành,NV045
DH000084,2024-10-25,Miền Bắc,Bắc Ninh,Cửa hàng,Điện tử,Tai nghe,1991000.0,1,1991000.0,50.0,996000.0,31000.0,Tiền mặt,Nữ,50.0,4.0,Hoàn thành,NV043
DH000085,2023-03-15,Miền Trung,Đà Nẵng,Đại lý,Thời trang,Áo thun,679000.0,6,4074000.0,0.0,4074000.0,0.0,Thẻ tín dụng,Nam,32.0,4.0,Hoàn thành,NV017
DH000086,2024-09-15,Miền Trung,Đà Nẵng,Online,Điện tử,Máy tính bảng,2999000.0,5,14995000.0,5.0,14245000.0,0.0,Thẻ tín dụng,Nữ,32.0,4.0,Hoàn thành,NV015
DH000087,2024-10-12,Miền Nam,Bình Dương,Online,Mỹ phẩm,Serum,139000.0,2,278000.0,0.0,278000.0,148000.0,Tiền mặt,Nữ,21.0,4.0,Hoàn thành,NV008
DH000088,2023-06-25,Miền Nam,Bình Dương,Đại lý,Điện tử,Loa bluetooth,2222000.0,4,8888000.0,10.0,7999000.0,0.0,Chuyển khoản,Nữ,43.0,2.0,Hoàn thành,NV002
DH000089,2024-06-30,Miền Nam,TP.HCM,Siêu thị,Thực phẩm,Trà xanh,66000.0,4,264000.0,10.0,238000.0,114000.0,Thẻ tín dụng,Nữ,21.0,5.0,Hoàn thành,NV005
DH000090,2023-09-08,Miền Trung,Huế,Đại lý,Thời trang,Đồng hồ,335000.0,3,1005000.0,10.0,904000.0,23000.0,Tiền mặt,Nữ,36.0,4.0,Hoàn thành,NV048
DH000091,2023-06-17,Miền Bắc,Hà Nội,Đại lý,Thời trang,Túi xách,338000.0,2,676000.0,0.0,676000.0,137000.0,Tiền mặt,Nữ,45.0,3.0,Hoàn thành,NV002
DH000092,2024-04-18,Miền Nam,Bình Dương,Online,Gia dụng,Nồi cơm điện,292000.0,76,22192000.0,0.0,22192000.0,0.0,Ví điện tử,Nam,32.0,4.0,Đang giao,NV001
DH000093,2024-01-24,Miền Nam,Bình Dương,Siêu thị,Thực phẩm,Bánh tráng,39000.0,2,78000.0,0.0,78000.0,113000.0,COD,Nam,33.0,3.0,Hoàn thành,NV019
DH000094,2023-10-04,Miền Nam,Bình Dương,Cửa hàng,Thực phẩm,Bánh tráng,194000.0,4,776000.0,10.0,698000.0,132000.0,Chuyển khoản,Nữ,54.0,4.0,Trả hàng,NV011
DH000095,2024-10-17,Miền Nam,Bình Dương,Đại lý,Thực phẩm,Gạo ST25,104000.0,6,624000.0,0.0,624000.0,105000.0,Tiền mặt,Nam,18.0,4.0,Hoàn thành,NV013
DH000096,2024-12-05,Miền Trung,Nghệ An,Đại lý,Thực phẩm,Trà xanh,21000.0,5,105000.0,0.0,105000.0,33000.0,Chuyển khoản,Nam,,,Hoàn thành,NV043
DH000097,2024-07-24,Miền Nam,Đồng Nai,Siêu thị,Thời trang,Đồng hồ,45000.0,7,315000.0,20.0,252000.0,92000.0,Chuyển khoản,Nữ,,,Hoàn thành,NV012
DH000098,2023-08-13,Miền Trung,Đà Nẵng,Đại lý,Thực phẩm,Cà phê,52000.0,3,156000.0,0.0,156000.0,39000.0,Chuyển khoản,Nam,40.0,,Hoàn thành,NV042
DH000099,2024-12-02,Miền Bắc,Hải Phòng,Siêu thị,Gia dụng,Quạt điện,935000.0,3,2805000.0,0.0,2805000.0,0.0,Tiền mặt,Nữ,47.0,5.0,Hoàn thành,NV047
DH000100,2023-11-29,Miền Bắc,Hải Phòng,Cửa hàng,Điện tử,Máy tính bảng,1072000.0,2,2144000.0,0.0,2144000.0,0.0,Ví điện tử,Nam,23.0,4.0,Hoàn thành,NV048
DH000101,2023-02-27,Miền Bắc,Bắc Ninh,Siêu thị,Thực phẩm,Bánh tráng,92000.0,3,276000.0,0.0,276000.0,29000.0,Tiền mặt,Nam,40.0,4.0,Đang giao,NV014
DH000102,2023-08-23,Miền Nam,TP.HCM,Cửa hàng,Điện tử,Laptop,2148000.0,4,8592000.0,0.0,8592000.0,0.0,Chuyển khoản,Nam,38.0,5.0,Hoàn thành,NV032
DH000103,2023-02-02,Miền Trung,Nghệ An,Siêu thị,Điện tử,Tai nghe,1645000.0,5,8225000.0,0.0,8225000.0,0.0,Thẻ tín dụng,,43.0,3.0,Hoàn thành,NV035
DH000104,2023-11-20,Miền Nam,Bình Dương,Đại lý,Thực phẩm,Bánh tráng,79000.0,4,316000.0,10.0,284000.0,142000.0,Thẻ tín dụng,Nữ,30.0,4.0,Hoàn thành,NV028
DH000105,2024-02-15,Tây Nguyên,Đắk Lắk,Cửa hàng,Mỹ phẩm,Sữa rửa mặt,124000.0,6,744000.0,0.0,744000.0,27000.0,Chuyển khoản,Nữ,46.0,2.0,Hoàn thành,NV013
DH000106,2023-10-02,Miền Bắc,Hải Phòng,Đại lý,Mỹ phẩm,Nước hoa,155000.0,3,465000.0,0.0,465000.0,48000.0,Chuyển khoản,Nam,,5.0,Đã hủy,NV043
DH000107,2023-03-09,Miền Trung,Khánh Hòa,Cửa hàng,Điện tử,Loa bluetooth,4470000.0,4,17880000.0,0.0,17880000.0,0.0,Chuyển khoản,Nữ,34.0,3.0,Trả hàng,NV027
DH000108,2023-08-05,Miền Nam,TP.HCM,Siêu thị,Thực phẩm,Bánh tráng,49000.0,1,49000.0,0.0,49000.0,51000.0,Tiền mặt,Nữ,33.0,5.0,Hoàn thành,NV044
DH000109,2024-08-03,Miền Bắc,Hà Nội,Siêu thị,Thực phẩm,Bánh tráng,157000.0,4,628000.0,15.0,534000.0,140000.0,Chuyển khoản,Nam,,5.0,Đang giao,NV033
DH000110,2023-11-19,Miền Bắc,Quảng Ninh,Siêu thị,Điện tử,Loa bluetooth,4599000.0,3,13797000.0,0.0,13797000.0,0.0,Tiền mặt,Nam,40.0,4.0,Hoàn thành,NV033
DH000111,2023-08-06,Miền Bắc,Hà Nội,Online,Gia dụng,Quạt điện,776000.0,3,2328000.0,0.0,2328000.0,0.0,Tiền mặt,Nữ,31.0,4.0,Trả hàng,NV041
DH000112,2024-11-02,Miền Bắc,Hà Nội,Online,Gia dụng,Máy xay sinh tố,483000.0,5,2415000.0,0.0,2415000.0,0.0,Tiền mặt,Nữ,18.0,4.0,Hoàn thành,NV038
DH000113,2024-05-26,Tây Nguyên,Lâm Đồng,Cửa hàng,Văn phòng phẩm,Giấy A4,23000.0,5,115000.0,0.0,115000.0,51000.0,Chuyển khoản,Nữ,18.0,4.0,Hoàn thành,NV009
DH000114,2024-02-10,Miền Nam,Đồng Nai,Online,Điện tử,Loa bluetooth,1358000.0,3,4074000.0,10.0,3667000.0,0.0,Ví điện tử,Nam,46.0,4.0,Trả hàng,NV026
DH000115,2024-10-20,Miền Nam,Bình Dương,Siêu thị,Thời trang,Túi xách,376000.0,4,1504000.0,0.0,1504000.0,66000.0,COD,Nữ,27.0,5.0,Hoàn thành,NV005
DH000116,2024-04-14,Miền Nam,Đồng Nai,Online,Mỹ phẩm,Kem chống nắng,88000.0,7,616000.0,0.0,616000.0,138000.0,Thẻ tín dụng,Nam,23.0,5.0,Đã hủy,NV034
DH000117,2023-05-27,Miền Nam,Bình Dương,Online,Gia dụng,Ấm siêu tốc,1035000.0,1,1035000.0,0.0,1035000.0,143000.0,Chuyển khoản,Nam,34.0,5.0,Đang giao,NV003
DH000118,2023-09-29,Miền Bắc,Bắc Ninh,Đại lý,Mỹ phẩm,Sữa rửa mặt,260000.0,3,780000.0,0.0,780000.0,150000.0,Tiền mặt,Nam,37.0,5.0,Hoàn thành,NV029
DH000119,2023-05-23,Miền Nam,Đồng Nai,Cửa hàng,Điện tử,Loa bluetooth,21589000.0,1,21589000.0,0.0,21589000.0,0.0,Thẻ tín dụng,Nam,27.0,4.0,Hoàn thành,NV018
DH000120,2023-09-10,Miền Nam,Cần Thơ,Cửa hàng,Thực phẩm,Nước mắm,210000.0,5,1050000.0,0.0,1050000.0,140000.0,Tiền mặt,Nam,18.0,4.0,Hoàn thành,NV030
DH000121,2024-07-28,Miền Nam,Cần Thơ,Cửa hàng,Thực phẩm,Bánh tráng,79000.0,2,158000.0,0.0,158000.0,101000.0,Chuyển khoản,Nữ,31.0,4.0,Hoàn thành,NV015
DH000122,2024-07-05,Miền Nam,Đồng Nai,Online,Điện tử,Loa bluetooth,2171000.0,2,4342000.0,10.0,3908000.0,0.0,Thẻ tín dụng,Nam,23.0,2.0,Hoàn thành,NV014
DH000123,2023-09-27,Miền Trung,Khánh Hòa,Siêu thị,Thực phẩm,Bánh tráng,28000.0,5,140000.0,0.0,140000.0,98000.0,Chuyển khoản,Nữ,22.0,4.0,Đã hủy,NV043
DH000124,2024-08-21,Miền Bắc,Bắc Ninh,Đại lý,Thực phẩm,Bánh tráng,86000.0,2,172000.0,10.0,155000.0,129000.0,Chuyển khoản,Nữ,42.0,2.0,Hoàn thành,NV040
DH000125,2024-03-14,Miền Bắc,Hải Phòng,Cửa hàng,Điện tử,Điện thoại,2574000.0,3,7722000.0,0.0,7722000.0,0.0,COD,Nam,21.0,3.0,Hoàn thành,NV004
DH000126,2024-08-20,Miền Trung,Nghệ An,Online,Thời trang,Túi xách,461000.0,2,922000.0,0.0,922000.0,26000.0,Chuyển khoản,Nữ,41.0,4.0,Trả hàng,NV025
