age,gender,income,expenses,savings,education,marital_status,loan_status,investment
49,M,37295,1178,1273.91,Master,Widowed,0,1
21,F,35129,1912,825.86,Bachelor,Single,0,0
28,M,17699,2830,-821.68,Master,Married,0,0
34,M,40415,2010,1216.87,High School,Single,1,1
55,M,30153,2115,202.97,High School,Married,0,0
41,M,74630,1369,3595.97,Bachelor,Married,0,1
22,M,65147,1691,2855.03,High School,Married,1,1
51,M,39677,1812,1158.5,Master,Married,1,1
23,F,83786,1841,2818.16,PhD,Divorced,1,0
39,F,64726,2640,2410.74,Bachelor,Single,0,1
28,M,45127,2278,848.74,Bachelor,Single,0,1
33,M,12508,1444,-300.89,PhD,Single,0,1
50,F,84364,2123,2890.76,Bachelor,Widowed,0,0
26,M,29156,2249,112.53,Bachelor,Single,1,0
23,M,25319,2570,-330.61,Bachelor,Married,0,0
33,M,65338,2790,1770.45,PhD,Married,0,1
46,F,86596,1492,3229.04,Bachelor,Single,1,1
20,M,70764,1594,2445.72,Master,Single,0,0
37,F,58458,1371,2335.74,Master,Single,0,0
53,M,58921,1882,2431.29,Bachelor,Married,1,0
36,F,62801,2233,2577.92,Bachelor,Single,1,1
43,F,61383,2493,1399.37,Master,Single,1,1
20,M,54217,1962,1679.96,Bachelor,Divorced,0,0
36,F,51563,1840,1326.98,Master,Widowed,0,0
37,M,49061,2075,1020.07,PhD,Single,1,0
49,F,38690,1582,1255.74,Bachelor,Single,0,1
24,M,45789,3044,571.85,Master,Single,0,1
58,M,24605,1196,482.92,Master,Married,1,1
50,F,48524,2092,1158.36,Master,Divorced,0,0
57,M,35171,3011,-40.8,Bachelor,Single,1,1
56,M,33446,2003,653.98,High School,Single,0,0
35,F,52698,1904,2213.57,Bachelor,Married,0,1
57,M,70880,1821,2264.21,Bachelor,Married,0,0
18,M,63774,1909,2018.07,Bachelor,Single,1,1
28,F,26442,2686,-408.85,Master,Married,0,1
45,F,35155,894,1772.15,Bachelor,Single,0,1
42,M,64111,2766,1720.77,Bachelor,Single,1,1
40,M,35262,1288,858.67,High School,Married,1,0
48,F,46630,1866,1041.74,Master,Divorced,1,0
47,F,58250,1785,2239.2,Bachelor,Married,0,1
59,M,35474,2294,435.15,High School,Divorced,0,0
52,F,51580,1200,1584.68,High School,Married,1,0
24,M,29989,2231,196.59,Master,Married,1,0
33,M,40979,3012,203.28,Bachelor,Married,0,1
43,M,54796,1318,2647.23,High School,Divorced,0,0
19,M,26105,2094,50.69,PhD,Divorced,1,0
18,M,56607,1669,1573.21,Master,Single,0,0
29,F,49705,2212,1419.27,PhD,Divorced,1,0
22,F,58287,2009,1877.21,Bachelor,Divorced,0,1
54,F,53358,1679,2461.75,Bachelor,Married,0,1
49,F,70462,2243,2604.34,Master,Single,1,1
26,M,51878,2902,867.05,Bachelor,Divorced,0,0
58,M,43558,1904,1352.67,Master,Divorced,0,1
52,M,51834,2359,1193.15,High School,Single,0,1
36,M,58149,1353,3009.69,Bachelor,Widowed,0,0
33,F,50732,1521,1759.03,High School,Single,1,1
20,M,50608,2236,1426.46,High School,Single,1,1
37,M,39470,2742,284.65,High School,Married,1,1
41,F,40056,2177,778.39,High School,Married,0,1
50,F,28960,1843,475.06,PhD,Married,0,0
41,F,76243,1999,3580.6,High School,Single,0,0
28,F,31342,1374,729.98,Bachelor,Widowed,1,1
25,M,39606,2302,589.55,Master,Single,1,0
53,M,39223,2441,684.35,Bachelor,Single,1,0
55,F,63423,1773,3063.24,High School,Single,0,1
57,M,45575,1764,1094.54,Master,Married,0,1
37,M,68716,2132,2444.23,Bachelor,Divorced,0,0
52,M,39897,1781,980.25,Master,Married,0,1
42,F,54184,1966,2162.54,Master,Divorced,0,1
52,M,37469,3049,39.16,PhD,Single,1,1
42,F,82177,1876,2905.94,Bachelor,Married,0,0
46,M,32186,1820,690.58,Bachelor,Married,0,0
35,M,54647,1676,1498.01,Bachelor,Married,0,0
63,M,59506,2372,1803.06,High School,Single,1,0
35,F,56206,1909,1878.13,Master,Married,0,0
19,M,47220,1675,1432.3,High School,Married,1,0
52,F,48052,2660,884.34,Bachelor,Married,1,0
33,F,50657,2709,1076.8,Master,Married,0,1
58,F,47794,1699,1289.33,Bachelor,Single,1,0
53,M,64458,1066,3137.84,Bachelor,Married,0,1
50,M,83157,2503,3639.55,Bachelor,Single,0,1
21,M,41637,1657,1457.57,Master,Divorced,1,0
50,M,29452,2395,33.32,Bachelor,Married,1,1
31,F,48675,1014,1702.75,Master,Single,0,1
38,F,88695,2446,3003.1,High School,Widowed,0,0
37,F,37944,1394,1139.35,Master,Married,0,1
25,M,74586,2365,2554.35,Master,Single,0,0
24,F,75165,2007,3285.7,High School,Married,0,1
20,M,41696,1523,1020.08,Bachelor,Single,0,0
34,F,58534,1796,1583.66,High School,Divorced,0,1
50,M,74425,2343,2534.51,Master,Divorced,1,0
29,M,44313,2052,1277.92,Bachelor,Widowed,0,1
39,F,46946,2292,935.44,Bachelor,Married,0,0
39,F,41274,2988,341.61,High School,Married,0,1
63,F,34778,1217,1015.31,High School,Married,1,1
47,F,40260,2808,467.38,High School,Single,0,0
55,M,31640,2052,501.81,Bachelor,Married,0,1
55,F,50511,1550,1645.85,Bachelor,Married,0,0
62,F,38450,1334,1107.13,Master,Single,1,1
25,F,53506,1905,1697.08,Bachelor,Married,0,0
44,M,26661,2460,-142.05,Bachelor,Divorced,1,1
44,M,54963,1936,2033.31,PhD,Divorced,1,1
51,F,62502,2755,2037.45,Master,Single,1,0
38,M,20093,1274,308.02,PhD,Single,1,0
47,F,55610,1993,2191.48,Bachelor,Single,0,0
50,M,68415,1373,2851.44,High School,Divorced,0,1
45,M,31855,2181,266.4,High School,Single,1,0
64,M,75088,2443,3033.08,Master,Married,0,1
50,M,56285,1789,1869.06,High School,Single,0,1
22,F,39424,697,1989.16,Bachelor,Married,1,0
36,F,49163,2099,1215.25,Bachelor,Single,0,1
21,F,58374,2218,1409.24,Bachelor,Married,0,0
52,M,51140,2202,1847.59,Bachelor,Single,0,0
34,F,58081,2617,1250.44,High School,Married,0,1
61,F,36189,1464,1389.39,Bachelor,Single,1,0
45,F,52540,2340,1815.98,Bachelor,Married,0,0
47,M,28794,2596,-160.64,PhD,Divorced,0,1
46,M,48331,1110,2228.36,Master,Single,0,0
63,M,36441,2159,641.74,PhD,Divorced,1,1
23,F,38967,1747,1269.87,Master,Married,1,1
52,F,68541,1959,2310.85,Bachelor,Single,0,0
58,F,66369,2173,2307.02,High School,Married,1,0
54,M,59137,1756,2371.94,Bachelor,Single,0,1
41,M,33615,1662,757.0,Bachelor,Married,1,0
46,F,45253,2017,1176.98,Bachelor,Married,0,0
63,M,68196,1456,2671.95,Bachelor,Single,1,1
48,M,52125,1457,2094.89,Bachelor,Married,0,0
52,M,84789,2339,3971.56,Bachelor,Divorced,0,1
50,M,55899,1425,1877.26,Bachelor,Divorced,0,0
38,F,52880,2333,1811.91,High School,Married,1,0
49,M,45363,2231,1201.65,Master,Widowed,0,0
40,M,52003,1137,2650.96,High School,Married,1,1
50,M,47712,1661,1672.53,High School,Single,0,1
20,M,60621,2597,1992.78,Bachelor,Divorced,0,1
35,F,64350,1509,1951.72,Bachelor,Married,0,0
42,F,38210,1767,1172.5,Bachelor,Married,1,0
59,M,30031,2231,140.15,High School,Married,0,0
48,M,22456,2391,-444.82,Bachelor,Divorced,1,0
20,M,57619,1874,2625.41,Bachelor,Divorced,1,1
57,M,33449,1701,671.0,PhD,Married,1,1
63,M,17706,2711,-721.69,PhD,Single,0,0
41,M,55828,2869,1437.63,Bachelor,Married,1,1
49,F,87394,2489,2882.1,Bachelor,Married,1,0
64,M,49908,2042,1791.46,Master,Single,0,1
39,F,62577,1595,1958.78,High School,Married,1,0
40,F,51227,1584,1477.73,Bachelor,Married,0,0
19,M,48516,2261,1588.94,Bachelor,Single,0,0
44,F,63786,2209,2390.56,PhD,Single,0,0
59,F,45645,2700,925.78,High School,Single,0,1
19,F,54010,2325,1370.19,Bachelor,Divorced,0,0
43,F,54825,1248,2558.95,Master,Single,0,0
34,F,39978,2525,594.95,Bachelor,Single,1,1
57,F,64880,1500,2895.86,High School,Married,0,1
50,M,47375,1808,1654.18,PhD,Single,0,1
26,F,38663,2125,800.91,Bachelor,Single,0,0
60,F,58047,2997,1235.96,Bachelor,Single,0,1
56,F,36522,3554,-311.59,High School,Married,1,1
46,M,50422,2303,1533.18,Bachelor,Married,0,0
59,F,49863,1908,1327.02,Bachelor,Single,1,0
43,M,66288,2267,2530.5,High School,Married,0,0
52,F,57120,2443,1374.75,High School,Widowed,1,0
42,M,49624,1839,1722.55,Master,Single,0,0
41,M,62266,2897,1830.79,High School,Single,0,0
30,F,70853,2115,2226.23,High School,Single,1,1
24,F,58367,2248,1370.68,Bachelor,Married,0,1
53,M,50155,2332,1020.59,Master,Married,1,1
62,F,30322,2210,235.22,High School,Single,1,1
37,M,34023,2419,349.56,Bachelor,Married,0,0
18,M,45421,1691,1084.73,High School,Single,0,1
25,M,40857,1720,1337.12,High School,Married,0,1
63,M,47195,1449,1581.08,High School,Married,1,0
33,M,50849,2219,1395.56,Master,Single,1,1
31,F,57945,2389,2126.35,High School,Married,0,1
29,M,48942,2228,1170.98,High School,Single,0,1
40,M,57297,2837,1329.56,Bachelor,Married,0,1
32,F,50967,1997,1137.44,Master,Single,1,0
45,M,20368,2334,-339.11,High School,Divorced,0,0
51,F,35909,1454,928.34,Bachelor,Single,0,0
19,F,47838,1806,1114.54,High School,Divorced,1,1
49,F,31854,2347,231.41,Bachelor,Single,0,1
40,M,58998,2424,1671.37,Bachelor,Married,0,1
39,M,72961,1853,3040.36,Bachelor,Single,1,0
42,M,68281,1964,2123.34,Bachelor,Divorced,1,0
39,F,46798,1241,1644.15,Bachelor,Single,0,1
39,M,72360,1821,3222.11,High School,Single,0,1
59,F,52230,2445,1690.28,Bachelor,Married,0,0
23,M,44943,2287,758.53,High School,Single,0,0
32,F,40798,2250,984.43,Master,Single,1,1
60,M,45462,2024,1289.41,PhD,Divorced,0,1
54,M,44177,2003,1217.81,PhD,Widowed,1,0
50,M,52556,1669,1897.77,Master,Single,1,0
25,F,52408,2349,1065.19,Bachelor,Divorced,0,1
61,F,50045,2210,1050.69,Master,Married,0,1
61,M,56554,2246,1826.36,High School,Single,0,0
22,M,67859,1736,2493.93,Bachelor,Married,1,0
56,F,64243,923,3840.9,Bachelor,Married,1,1
21,F,27726,2548,-157.38,Bachelor,Widowed,0,0
23,F,11691,1760,-437.91,Master,Single,1,0
62,M,64014,1568,2960.05,High School,Married,0,1
49,F,29496,2346,69.14,Bachelor,Single,1,0
47,M,46628,1803,1479.09,PhD,Single,0,1
64,F,32448,2529,136.35,High School,Single,0,0
52,M,22970,2308,-338.74,Bachelor,Widowed,1,1
57,F,58121,2341,2044.17,PhD,Divorced,0,0
33,F,61387,1317,2926.98,Bachelor,Married,0,0
30,F,41352,2605,649.13,Bachelor,Married,0,0
59,F,11134,2130,-1055.95,High School,Single,0,1
47,F,41806,1815,1031.89,Bachelor,Single,0,1
36,M,55877,2071,1293.86,Master,Single,1,0
34,F,27816,1111,734.8,Bachelor,Single,0,1
36,F,52750,2204,1286.95,Bachelor,Married,0,1
45,F,49770,1485,2036.1,High School,Married,1,1
43,M,58689,1323,2688.24,High School,Single,0,0
54,F,51793,1238,2269.73,PhD,Single,0,1
43,M,35403,2556,199.69,Bachelor,Single,1,0
40,F,67948,1685,3148.1,Bachelor,Married,1,0
26,F,47622,2766,756.87,High School,Divorced,1,1
29,M,49590,1732,1838.84,Bachelor,Married,1,1
18,F,36000,1146,1339.76,PhD,Divorced,0,0
18,M,43350,1441,1383.45,Bachelor,Married,1,0
64,M,36727,2617,245.67,High School,Single,0,1
51,F,47405,1922,1090.82,Bachelor,Single,1,1
49,M,75675,1725,3814.38,Master,Divorced,0,0
42,F,29421,2080,322.44,Bachelor,Married,1,1
57,F,25796,2250,-76.24,Master,Single,1,0
62,M,72067,2558,1866.43,Bachelor,Married,1,0
18,M,46860,2724,780.42,Master,Married,0,1
33,M,39963,1820,1195.48,Bachelor,Married,0,0
56,M,65598,1336,3353.67,High School,Divorced,1,0
22,F,40915,1793,884.74,Bachelor,Married,1,1
39,F,77390,2130,2159.64,High School,Married,0,1
46,M,60168,1518,2743.85,PhD,Single,1,0
20,F,42681,1521,1308.25,Master,Single,1,1
29,F,82359,2171,2823.76,Bachelor,Single,0,1
43,F,40914,1975,724.65,Bachelor,Single,1,0
33,F,61131,2016,2204.4,High School,Married,0,1
54,M,54489,1620,2454.77,Master,Married,0,0
39,M,69526,1884,3452.59,Bachelor,Single,0,0
46,F,73422,1537,3327.53,High School,Divorced,0,1
31,M,50480,2445,1243.36,Bachelor,Single,1,1
45,M,38698,2517,378.0,High School,Single,0,0
22,M,56899,1076,2637.57,Bachelor,Single,1,0
64,F,39834,1535,1163.48,Bachelor,Single,1,0
47,F,80200,1251,4035.43,High School,Single,1,0
63,F,52048,1674,1745.79,PhD,Married,0,0
22,M,44520,1958,1044.4,High School,Married,1,0
29,F,52770,1275,1679.86,High School,Widowed,0,1
33,F,29793,1539,590.76,High School,Single,0,0
43,M,35425,1498,783.25,Master,Single,0,0
43,F,68006,2103,2034.28,Bachelor,Single,0,1
38,F,40146,2034,1173.71,Bachelor,Married,1,1
56,M,34296,1639,826.04,High School,Single,0,0
53,M,58049,2088,1959.64,High School,Divorced,1,0
50,M,67785,1726,3332.17,Bachelor,Married,0,1
47,F,60784,1864,2875.53,Master,Married,0,0
54,F,64940,2836,1888.18,Master,Married,1,0
40,F,38648,2670,454.29,High School,Single,1,1
27,M,28672,1350,655.59,Bachelor,Single,0,0
22,M,72520,2414,2258.53,PhD,Single,0,0
53,F,45159,2405,897.91,Bachelor,Married,0,0
51,F,46237,1425,1867.2,Master,Single,0,0
48,M,69922,2409,2641.56,High School,Single,1,0
27,M,58343,2768,1310.99,PhD,Widowed,1,1
36,M,56838,1438,1825.01,Master,Single,0,0
49,M,82475,1541,4014.71,PhD,Divorced,1,0
18,F,40347,2508,470.97,Bachelor,Married,0,0
22,M,63917,2135,2334.19,Bachelor,Single,0,1
62,F,50855,2275,1525.91,PhD,Single,0,1
21,F,54028,2170,1819.79,High School,Single,1,0
33,F,72927,2195,3111.19,Bachelor,Married,0,1
41,M,57617,1336,2942.64,Master,Married,0,0
33,M,58074,2523,1621.51,Master,Married,0,0
19,M,66087,2584,2315.51,PhD,Divorced,0,0
45,M,44525,1885,1364.81,High School,Married,1,0
49,F,37411,1978,654.87,Master,Single,0,0
44,M,34327,1234,830.01,Master,Single,0,1
37,M,20504,2257,-336.58,High School,Divorced,1,0
41,F,80843,2286,3014.22,Bachelor,Single,1,1
29,M,33451,1968,612.1,High School,Single,1,0
52,F,46681,2562,1115.57,Bachelor,Married,0,0
50,F,45847,1832,1150.39,PhD,Married,0,0
50,F,54611,2282,1248.4,Bachelor,Divorced,0,1
60,F,62236,1490,3272.7,Master,Married,0,0
54,F,62907,1988,1767.77,PhD,Single,1,1
29,F,41253,1912,1054.9,Bachelor,Divorced,0,0
20,F,47493,2112,1355.2,Master,Single,0,0
18,F,54238,1815,1938.15,Bachelor,Single,0,0
50,M,46269,1934,1027.01,Master,Married,0,0
57,M,74110,2413,1967.25,High School,Single,1,0
27,M,57364,1781,1626.22,PhD,Married,0,0
60,M,61023,1196,2855.62,High School,Single,0,1
61,F,59943,2874,1522.5,Bachelor,Married,0,0
46,M,67602,2690,1746.96,Master,Single,0,1
30,F,52715,1353,2295.47,Bachelor,Married,0,0
29,M,30547,2344,166.92,Bachelor,Divorced,1,1
48,M,55995,1748,1507.66,Bachelor,Single,0,1
63,M,40229,2131,854.08,Master,Single,1,0
19,F,42070,2147,1054.08,High School,Single,1,0
52,M,58795,1882,1813.34,High School,Single,1,1
40,F,68574,1608,2558.79,High School,Married,1,1
34,F,50319,1654,1892.9,Bachelor,Married,0,0
43,M,54632,1541,2587.55,High School,Single,0,0
25,M,75533,1584,3881.24,Bachelor,Single,0,1
46,M,53611,1966,1834.29,Bachelor,Single,1,0
43,F,89025,1642,4575.7,High School,Married,1,1
27,M,58482,2341,1635.82,Bachelor,Single,1,0
43,F,23588,2743,-587.96,Master,Widowed,0,0
